body,category_id,head,id,image_id,left-back-leg,left-front-leg,left-wing,right-back-leg,right-front-leg,right-wing,tail
"(1503, 1073)",5,"(1404, 1091)",16612,599d7bb5-23d2-11e8-a6a3-ec086b02610b,"(1583, 1080)","(1477, 1135)","(-1, -1)","(-1, -1)","(1445, 1130)","(-1, -1)","(1612, 1021)"
"(187, 1005)",3,"(186, 1294)",11818,59738858-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(348, 739)",1,"(401, 705)",14979,596eee36-23d2-11e8-a6a3-ec086b02610b,"(325, 831)","(395, 795)","(-1, -1)","(291, 834)","(-1, -1)","(-1, -1)","(225, 807)"
"(1032, 601)",10,"(943, 583)",40176,59df5b44-23d2-11e8-a6a3-ec086b02610b,"(1087, 671)","(977, 619)","(-1, -1)","(1051, 652)","(-1, -1)","(-1, -1)","(1111, 624)"
"(1122, 928)",6,"(1012, 930)",30549,5a0c9d9f-23d2-11e8-a6a3-ec086b02610b,"(1221, 1010)","(1083, 1043)","(-1, -1)","(-1, -1)","(1032, 988)","(-1, -1)","(1227, 894)"
"(1611, 840)",10,"(1670, 800)",17692,59f460f5-23d2-11e8-a6a3-ec086b02610b,"(1559, 901)","(-1, -1)","(-1, -1)","(1592, 916)","(1653, 877)","(-1, -1)","(1547, 858)"
"(774, 561)",10,"(800, 522)",8874,59b2e939-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(791, 609)","(-1, -1)","(-1, -1)","(757, 609)"
"(1691, 536)",1,"(1766, 554)",5126,5a17de95-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1657, 601)","(1740, 590)","(-1, -1)","(1590, 592)"
"(1640, 846)",16,"(1488, 896)",41483,59f5fc9e-23d2-11e8-a6a3-ec086b02610b,"(1698, 945)","(1580, 1009)","(-1, -1)","(1669, 940)","(1558, 954)","(-1, -1)","(-1, -1)"
"(1397, 995)",11,"(1320, 959)",32537,5968c0fe-23d2-11e8-a6a3-ec086b02610b,"(1402, 1147)","(-1, -1)","(1495, 1022)","(1498, 1157)","(-1, -1)","(-1, -1)","(1669, 1048)"
"(1221, 1114)",16,"(1006, 1215)",30408,59dc2634-23d2-11e8-a6a3-ec086b02610b,"(1315, 1232)","(1116, 1342)","(-1, -1)","(1250, 1208)","(1216, 1270)","(-1, -1)","(1377, 995)"
"(232, 780)",6,"(93, 809)",12517,59b6171d-23d2-11e8-a6a3-ec086b02610b,"(365, 879)","(145, 908)","(-1, -1)","(319, 870)","(235, 892)","(-1, -1)","(346, 770)"
"(1812, 1217)",3,"(1853, 1272)",37270,5a27d895-23d2-11e8-a6a3-ec086b02610b,"(1873, 1313)","(1909, 1357)","(-1, -1)","(1759, 1311)","(1814, 1348)","(-1, -1)","(1737, 1231)"
"(1979, 1102)",16,"(1897, 1278)",13232,5a0e375f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1955, 1287)","(-1, -1)","(-1, -1)","(1851, 1342)","(-1, -1)","(1971, 831)"
"(721, 1152)",1,"(622, 1174)",4063,59f94547-23d2-11e8-a6a3-ec086b02610b,"(798, 1229)","(667, 1212)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(865, 1205)"
"(1993, 792)",5,"(1914, 811)",19421,5a0e366c-23d2-11e8-a6a3-ec086b02610b,"(2027, 852)","(1952, 848)","(-1, -1)","(1986, 836)","(-1, -1)","(-1, -1)","(2041, 770)"
"(962, 638)",16,"(1049, 688)",30884,59e77d69-23d2-11e8-a6a3-ec086b02610b,"(974, 725)","(1044, 751)","(-1, -1)","(925, 722)","(1032, 804)","(-1, -1)","(894, 541)"
"(1882, 1072)",6,"(1983, 1072)",7151,59f944e6-23d2-11e8-a6a3-ec086b02610b,"(1761, 1183)","(1902, 1166)","(-1, -1)","(1838, 1184)","(1979, 1157)","(-1, -1)","(1793, 1096)"
"(136, 891)",9,"(296, 846)",41845,59e5de6e-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(136, 995)","(-1, -1)","(100, 1073)","(271, 1024)","(-1, -1)","(-1, -1)"
"(1162, 705)",7,"(1262, 807)",24184,596a4f23-23d2-11e8-a6a3-ec086b02610b,"(1020, 795)","(-1, -1)","(-1, -1)","(1105, 817)","(1145, 807)","(-1, -1)","(889, 660)"
"(1087, 863)",11,"(1134, 787)",30035,5a049327-23d2-11e8-a6a3-ec086b02610b,"(1088, 939)","(-1, -1)","(-1, -1)","(1042, 939)","(-1, -1)","(1010, 875)","(-1, -1)"
"(665, 805)",10,"(738, 799)",42437,5a296578-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(703, 862)","(-1, -1)","(663, 869)","(687, 865)","(-1, -1)","(-1, -1)"
"(1000, 1120)",1,"(863, 1138)",33864,597b4974-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(977, 1183)","(-1, -1)","(1112, 1200)","(930, 1169)","(-1, -1)","(1177, 1138)"
"(781, 744)",1,"(680, 840)",23310,5984985c-23d2-11e8-a6a3-ec086b02610b,"(873, 775)","(745, 862)","(-1, -1)","(846, 800)","(-1, -1)","(-1, -1)","(964, 674)"
"(1264, 882)",10,"(1221, 952)",16379,597830f7-23d2-11e8-a6a3-ec086b02610b,"(1317, 949)","(1237, 1005)","(-1, -1)","(1278, 944)","(1230, 1012)","(-1, -1)","(-1, -1)"
"(1012, 1029)",10,"(1105, 978)",9074,5979be4a-23d2-11e8-a6a3-ec086b02610b,"(933, 1109)","(1044, 1073)","(-1, -1)","(972, 1121)","(1088, 1089)","(-1, -1)","(911, 1062)"
"(155, 845)",9,"(-1, -1)",3822,598495f5-23d2-11e8-a6a3-ec086b02610b,"(395, 1003)","(138, 995)","(-1, -1)","(262, 1000)","(52, 986)","(-1, -1)","(360, 908)"
"(220, 819)",9,"(49, 983)",2977,59a7bb63-23d2-11e8-a6a3-ec086b02610b,"(368, 976)","(180, 1000)","(-1, -1)","(324, 968)","(75, 986)","(-1, -1)","(-1, -1)"
"(443, 1056)",1,"(438, 1229)",12753,59df5e8e-23d2-11e8-a6a3-ec086b02610b,"(501, 1091)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(462, 904)"
"(1035, 698)",1,"(1162, 751)",3257,5a1fe61c-23d2-11e8-a6a3-ec086b02610b,"(947, 782)","(1107, 758)","(-1, -1)","(1008, 800)","(1099, 788)","(-1, -1)","(889, 788)"
"(1273, 857)",6,"(1121, 869)",30542,5978321d-23d2-11e8-a6a3-ec086b02610b,"(1390, 966)","(1194, 986)","(-1, -1)","(1283, 956)","(-1, -1)","(-1, -1)","(1385, 841)"
"(245, 1147)",1,"(114, 1234)",3332,5995b021-23d2-11e8-a6a3-ec086b02610b,"(365, 1215)","(215, 1251)","(-1, -1)","(266, 1222)","(-1, -1)","(-1, -1)","(377, 1118)"
"(1010, 498)",3,"(1063, 643)",18368,59d5b879-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(969, 630)","(1006, 662)","(-1, -1)","(860, 505)"
"(810, 1386)",3,"(1012, 1294)",37643,59b93a5a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(491, 1102)",5,"(455, 1077)",8675,597feff2-23d2-11e8-a6a3-ec086b02610b,"(474, 1174)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(585, 1155)"
"(858, 1108)",5,"(938, 1137)",15419,59d5b7eb-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(820, 1157)","(904, 1155)","(-1, -1)","(757, 1041)"
"(230, 1140)",5,"(114, 1171)",29958,5a116e58-23d2-11e8-a6a3-ec086b02610b,"(238, 1220)","(197, 1196)","(-1, -1)","(-1, -1)","(146, 1184)","(-1, -1)","(353, 1109)"
"(1344, 1314)",5,"(1406, 1371)",30380,5a07ce48-23d2-11e8-a6a3-ec086b02610b,"(1283, 1285)","(-1, -1)","(-1, -1)","(-1, -1)","(1370, 1393)","(-1, -1)","(1293, 1205)"
"(590, 872)",10,"(541, 916)",4813,596eed83-23d2-11e8-a6a3-ec086b02610b,"(612, 940)","(583, 947)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(621, 645)",10,"(662, 601)",8377,59c31c13-23d2-11e8-a6a3-ec086b02610b,"(587, 710)","(-1, -1)","(-1, -1)","(619, 710)","(-1, -1)","(-1, -1)","(587, 684)"
"(646, 828)",10,"(547, 863)",40271,59862451-23d2-11e8-a6a3-ec086b02610b,"(709, 874)","(558, 915)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(711, 807)"
"(1908, 621)",16,"(1995, 589)",742,5a07ccdc-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1863, 723)","(1952, 708)","(-1, -1)","(1747, 718)"
"(1341, 566)",16,"(1448, 546)",21899,596ef078-23d2-11e8-a6a3-ec086b02610b,"(1300, 682)","(-1, -1)","(-1, -1)","(1254, 717)","(1409, 669)","(-1, -1)","(1181, 614)"
"(42, 1032)",99,"(146, 1225)",19604,59ddc02e-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(52, 1159)","(-1, -1)","(-1, -1)"
"(1220, 927)",10,"(1305, 916)",2175,599fc046-23d2-11e8-a6a3-ec086b02610b,"(1163, 997)","(-1, -1)","(-1, -1)","(1203, 1003)","(1281, 964)","(-1, -1)","(1145, 957)"
"(728, 971)",10,"(679, 1125)",7624,5a2e1229-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(651, 1372)",10,"(914, 1405)",41921,59be3ef3-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1276, 577)",16,"(1230, 505)",14562,596d646f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1320, 705)","(-1, -1)","(-1, -1)","(1286, 739)"
"(730, 1051)",1,"(844, 1109)",10631,5a197943-23d2-11e8-a6a3-ec086b02610b,"(665, 1142)","(-1, -1)","(-1, -1)","(725, 1101)","(798, 1120)","(-1, -1)","(527, 1109)"
"(566, 828)",1,"(411, 918)",12596,5992938c-23d2-11e8-a6a3-ec086b02610b,"(667, 889)","(476, 915)","(-1, -1)","(-1, -1)","(527, 932)","(-1, -1)","(786, 793)"
"(645, 679)",16,"(665, 582)",10308,5a2e1281-23d2-11e8-a6a3-ec086b02610b,"(561, 896)","(679, 761)","(-1, -1)","(682, 841)","(704, 735)","(-1, -1)","(535, 841)"
"(1158, 1208)",1,"(-1, -1)",23802,59e101f3-23d2-11e8-a6a3-ec086b02610b,"(1213, 1384)","(1129, 1369)","(-1, -1)","(1278, 1336)","(-1, -1)","(-1, -1)","(1349, 1336)"
"(1230, 717)",1,"(1356, 829)",8623,59f2c62e-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1223, 805)","(1269, 816)","(-1, -1)","(1136, 703)"
"(1662, 947)",16,"(1510, 1021)",9630,5a263898-23d2-11e8-a6a3-ec086b02610b,"(1722, 1036)","(1547, 1111)","(-1, -1)","(-1, -1)","(1611, 1068)","(-1, -1)","(-1, -1)"
"(1534, 1282)",16,"(1218, 1394)",7819,59d5b63c-23d2-11e8-a6a3-ec086b02610b,"(1781, 1396)","(1469, 1468)","(-1, -1)","(1628, 1425)","(1315, 1478)","(-1, -1)","(1783, 1092)"
"(819, 1118)",1,"(916, 1079)",36173,59a30a0d-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(706, 1261)","(916, 1171)","(-1, -1)","(510, 1266)"
"(1184, 1106)",3,"(1314, 1304)",19591,59aadc4f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1155, 1224)","(1252, 1369)","(-1, -1)","(950, 1068)"
"(1489, 783)",10,"(1394, 793)",8723,59d27c9e-23d2-11e8-a6a3-ec086b02610b,"(1556, 817)","(1491, 836)","(-1, -1)","(-1, -1)","(1438, 834)","(-1, -1)","(-1, -1)"
,5,"(1974, 826)",17135,59bac8ce-23d2-11e8-a6a3-ec086b02610b,"(1989, 951)","(1960, 898)",,"(1995, 1067)","(-1, -1)",,"(2013, 872)"
"(230, 729)",16,"(310, 783)",43259,59fc7e52-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(194, 852)","(296, 840)","(-1, -1)","(83, 759)"
"(215, 1166)",16,"(8, 1260)",43824,599d7e78-23d2-11e8-a6a3-ec086b02610b,"(334, 1311)","(257, 1360)","(-1, -1)","(409, 1277)","(75, 1391)","(-1, -1)","(496, 1109)"
"(1684, 927)",6,"(1723, 904)",27230,5a1e523f-23d2-11e8-a6a3-ec086b02610b,"(1607, 1046)","(-1, -1)","(-1, -1)","(1641, 1055)","(1715, 1021)","(-1, -1)","(1638, 887)"
"(899, 1101)",1,"(1020, 1132)",26240,598ace49-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(860, 1198)","(971, 1161)","(-1, -1)","(698, 1132)"
"(860, 1053)",1,"(988, 1038)",16798,59a62a2a-23d2-11e8-a6a3-ec086b02610b,"(698, 1191)","(976, 1114)","(-1, -1)","(819, 1166)","(855, 1155)","(-1, -1)","(655, 1222)"
"(63, 860)",5,"(-1, -1)",12572,5a2af32a-23d2-11e8-a6a3-ec086b02610b,"(100, 908)","(25, 935)","(-1, -1)","(155, 904)","(-1, -1)","(-1, -1)","(191, 802)"
"(1235, 896)",16,"(1133, 1012)",7291,59f79893-23d2-11e8-a6a3-ec086b02610b,"(1305, 974)","(1172, 1120)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1220, 793)"
"(1361, 701)",8,"(-1, -1)",13202,5a24aa61-23d2-11e8-a6a3-ec086b02610b,"(1346, 821)","(-1, -1)","(-1, -1)","(1281, 863)","(1423, 797)","(-1, -1)","(1210, 742)"
"(619, 1164)",16,"(452, 1343)",5515,59c99d28-23d2-11e8-a6a3-ec086b02610b,"(797, 1234)","(552, 1427)","(-1, -1)","(665, 1309)","(512, 1343)","(-1, -1)","(795, 995)"
"(1269, 846)",1,"(1249, 969)",21314,59b614ce-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1278, 949)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(182, 933)",1,"(25, 1021)",39245,59bfddcc-23d2-11e8-a6a3-ec086b02610b,"(250, 973)","(116, 1029)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(293, 875)"
"(344, 536)",3,"(493, 537)",17714,5978319e-23d2-11e8-a6a3-ec086b02610b,"(221, 659)","(-1, -1)","(-1, -1)","(339, 682)","(433, 630)","(-1, -1)","(119, 681)"
"(824, 612)",5,"(785, 580)",36146,5a116d69-23d2-11e8-a6a3-ec086b02610b,"(791, 664)","(788, 628)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(889, 759)"
"(1602, 910)",6,"(1517, 937)",5951,59910410-23d2-11e8-a6a3-ec086b02610b,"(1701, 1010)","(1547, 1038)","(-1, -1)","(1626, 1003)","(1532, 1002)","(-1, -1)","(1701, 904)"
"(711, 1282)",16,"(445, 1471)",19047,59a62925-23d2-11e8-a6a3-ec086b02610b,"(889, 1396)","(718, 1476)","(-1, -1)","(836, 1427)","(559, 1480)","(-1, -1)","(1024, 1210)"
"(894, 708)",16,"(764, 677)",17274,5991035c-23d2-11e8-a6a3-ec086b02610b,"(935, 834)","(822, 850)","(-1, -1)","(919, 812)","(820, 824)","(-1, -1)","(984, 747)"
"(1152, 858)",16,"(1259, 792)",33290,59d75289-23d2-11e8-a6a3-ec086b02610b,"(1073, 1072)","(1208, 933)","(-1, -1)","(1107, 1036)","(1181, 997)","(-1, -1)","(979, 1068)"
"(573, 1444)",10,"(-1, -1)",23170,59c4c071-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1220, 447)",3,"(1433, 457)",5516,5965a9b0-23d2-11e8-a6a3-ec086b02610b,"(1150, 585)","(1367, 565)","(-1, -1)","(1186, 597)","(1344, 583)","(-1, -1)","(1051, 594)"
"(834, 1406)",3,"(-1, -1)",14028,59e5de8a-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(788, 1256)"
"(1039, 988)",3,"(1192, 1118)",34979,59d419b4-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(981, 1133)","(1046, 1157)","(-1, -1)","(807, 834)"
"(430, 759)",16,"(546, 698)",973,59bac96a-23d2-11e8-a6a3-ec086b02610b,"(385, 889)","(476, 869)","(-1, -1)","(375, 954)","(570, 790)","(-1, -1)","(228, 872)"
"(85, 747)",16,"(233, 811)",1261,596eee92-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(110, 886)","(-1, -1)","(-1, -1)","(204, 848)","(-1, -1)","(-1, -1)"
"(802, 1277)",10,"(699, 1473)",33905,59f2c4e4-23d2-11e8-a6a3-ec086b02610b,"(913, 1483)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(230, 1106)",7,"(172, 1171)",3728,59f946b0-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(-1, -1)",5,"(-1, -1)",21825,59973d68-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(25, 831)"
"(1687, 872)",6,"(1802, 881)",30301,59b7a9c0-23d2-11e8-a6a3-ec086b02610b,"(1583, 971)","(1670, 956)","(-1, -1)","(1604, 988)","(1749, 966)","(-1, -1)","(1576, 875)"
"(1247, 1331)",10,"(1310, 1193)",3413,59fe2214-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(1561, 828)",16,"(1506, 923)",12464,5a27da80-23d2-11e8-a6a3-ec086b02610b,"(1590, 939)","(1566, 1036)","(-1, -1)","(-1, -1)","(1493, 981)","(-1, -1)","(-1, -1)"
"(1307, 601)",16,"(1437, 580)",23779,5965ab0d-23d2-11e8-a6a3-ec086b02610b,"(1208, 735)","(1389, 679)","(-1, -1)","(1276, 701)","(1322, 694)","(-1, -1)","(1148, 677)"
"(1228, 1227)",16,"(1220, 1357)",9286,5a0b0287-23d2-11e8-a6a3-ec086b02610b,"(1278, 1313)","(1237, 1463)","(-1, -1)","(-1, -1)","(1181, 1423)","(-1, -1)","(-1, -1)"
"(1158, 1130)",16,"(1394, 1060)",37039,59d0e398-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1329, 1215)","(-1, -1)","(1194, 1294)","(-1, -1)","(-1, -1)","(911, 1313)"
"(960, 759)",6,"(843, 754)",38280,59fae678-23d2-11e8-a6a3-ec086b02610b,"(1066, 829)","(851, 840)","(-1, -1)","(1000, 831)","(-1, -1)","(-1, -1)","(1063, 756)"
"(914, 1394)",5,"(827, 1454)",3568,5a015d50-23d2-11e8-a6a3-ec086b02610b,"(945, 1442)","(897, 1473)","(-1, -1)","(-1, -1)","(848, 1478)","(-1, -1)","(994, 1307)"
"(1778, 811)",16,"(1609, 940)",32419,5995aed4-23d2-11e8-a6a3-ec086b02610b,"(1925, 853)","(1745, 1003)","(-1, -1)","(-1, -1)","(1633, 1012)","(-1, -1)","(2000, 710)"
"(1588, 855)",6,"(1466, 898)",26786,5979bea2-23d2-11e8-a6a3-ec086b02610b,"(1677, 956)","(1592, 976)","(-1, -1)","(1638, 961)","(1474, 985)","(-1, -1)","(1682, 826)"
"(10, 1347)",99,"(75, 1483)",9545,59bca6f1-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(950, 747)",10,"(887, 800)",6173,59ccd2fd-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(977, 800)","(-1, -1)","(-1, -1)","(916, 809)","(-1, -1)","(972, 693)"
"(535, 822)",3,"(638, 867)",8833,597386b2-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(599, 918)","(-1, -1)","(471, 944)","(541, 923)","(-1, -1)","(395, 922)"
"(554, 1178)",5,"(477, 1260)",45054,59fae434-23d2-11e8-a6a3-ec086b02610b,"(595, 1227)","(559, 1278)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(691, 1106)"
"(962, 1056)",3,"(1013, 1265)",7783,5986248e-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(1027, 1376)","(-1, -1)","(897, 1155)","(-1, -1)","(-1, -1)","(868, 901)"
"(836, 737)",16,"(947, 674)",3360,59fae681-23d2-11e8-a6a3-ec086b02610b,"(682, 887)","(841, 852)","(-1, -1)","(791, 887)","(938, 838)","(-1, -1)","(645, 828)"
"(581, 1482)",10,"(-1, -1)",35741,5971fadd-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)"
"(641, 623)",8,"(484, 682)",21020,59fae654-23d2-11e8-a6a3-ec086b02610b,"(749, 706)","(588, 746)","(-1, -1)","(655, 711)","(-1, -1)","(-1, -1)","(759, 602)"
"(1367, 785)",11,"(1264, 711)",32974,5a2e132f-23d2-11e8-a6a3-ec086b02610b,"(1377, 923)","(-1, -1)","(1382, 852)","(1353, 908)","(-1, -1)","(-1, -1)","(1467, 863)"
"(1503, 594)",10,"(1544, 573)",7424,59738953-23d2-11e8-a6a3-ec086b02610b,"(1459, 640)","(-1, -1)","(-1, -1)","(1486, 653)","(1534, 626)","(-1, -1)","(1443, 612)"
"(865, 1297)",10,"(771, 1365)",18642,59af993f-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(798, 1475)","(-1, -1)","(-1, -1)","(706, 1464)","(-1, -1)","(-1, -1)"
"(356, 780)",5,"(343, 846)",4904,5a27d889-23d2-11e8-a6a3-ec086b02610b,"(406, 817)","(-1, -1)","(-1, -1)","(384, 821)","(-1, -1)","(-1, -1)","(431, 746)"
"(709, 1364)",10,"(430, 1413)",34767,5a015cad-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(919, 1466)"
"(1314, 503)",9,"(1380, 491)",14067,598acfce-23d2-11e8-a6a3-ec086b02610b,"(1247, 609)","(-1, -1)","(-1, -1)","(1293, 616)","(1344, 577)","(-1, -1)","(1264, 561)"
"(1884, 809)",5,"(-1, -1)",6849,59a629d6-23d2-11e8-a6a3-ec086b02610b,"(-1, -1)","(-1, -1)","(-1, -1)","(1827, 841)","(-1, -1)","(-1, -1)","(1759, 782)"
"(221, 1137)",5,"(170, 1179)",37511,596bd944-23d2-11e8-a6a3-ec086b02610b,"(244, 1220)","(187, 1229)","(-1, -1)","(-1, -1)","(151, 1208)","(-1, -1)","(336, 1101)"
"(1744, 778)",16,"(1605, 860)",21177,59e43fa6-23d2-11e8-a6a3-ec086b02610b,"(1873, 819)","(1713, 928)","(-1, -1)","(1803, 855)","(1592, 957)","(-1, -1)","(1860, 698)"
